cust_no,age_gender,update_dt
00695,20대 F,20180825
12875,20대 M,20180825
12971,20대 F,20180825
14991,50대이상 M,20180825
14991,50대이상 M,20180825
16759,20대 F,20180825
16759,20대 F,20180825
01775,20대 M,20180825
06490,50대이상 M,20180825
17134,50대이상 M,20180825
17134,50대이상 M,20180825
06055,50대이상 M,20180825
05753,50대이상 M,20180825
09593,50대이상 M,20180825
11279,20대 F,20180825
11765,50대이상 M,20180825
03064,20대 F,20180825
12559,20대 M,20180825
12559,20대 M,20180825
18178,20대 M,20180825
12446,20대 F,20180825
12058,20대 F,20180825
12058,20대 F,20180825
14925,20대 F,20180825
14925,20대 F,20180825
06124,50대이상 M,20180825
06124,50대이상 M,20180825
10906,20대 M,20180825
10906,20대 M,20180825
18477,20대 F,20180825
18477,20대 F,20180825
18477,20대 F,20180825
02530,50대이상 M,20180825
06379,20대 M,20180825
07920,50대이상 M,20180825
10136,20대 F,20180825
11934,20대 M,20180825
13456,50대이상 M,20180825
01810,20대 F,20180825
01810,20대 F,20180825
12400,20대 F,20180825
12400,20대 F,20180825
13924,50대이상 M,20180825
15108,20대 F,20180825
14184,20대 F,20180825
15419,20대 F,20180825
15419,20대 F,20180825
18184,50대이상 M,20180825
18184,50대이상 M,20180825
02501,20대 M,20180825
02513,20대 M,20180825
05120,20대 M,20180825
05455,20대 M,20180825
05461,50대이상 M,20180825
14075,20대 M,20180825
18045,20대 F,20180825
07517,50대이상 M,20180825
12919,20대 M,20180825
00172,20대 F,20180825
00172,20대 F,20180825
03203,20대 M,20180825
03203,20대 M,20180825
17422,20대 M,20180825
00497,20대 M,20180825
07775,20대 M,20180825
09045,50대이상 M,20180825
12397,20대 F,20180825
12397,20대 F,20180825
12397,20대 F,20180825
12692,20대 M,20180825
12995,20대 M,20180825
04252,20대 F,20180825
04252,20대 F,20180825
06539,20대 M,20180825
08350,50대이상 M,20180825
08525,50대이상 M,20180825
17841,50대이상 M,20180825
00866,20대 F,20180825
00866,20대 F,20180825
08647,20대 F,20180825
10061,50대이상 M,20180825
18582,20대 F,20180825
18582,20대 F,20180825
18582,20대 F,20180825
18582,20대 F,20180825
01268,20대 M,20180825
01268,20대 M,20180825
08871,20대 F,20180825
12463,20대 M,20180825
12545,20대 M,20180825
03947,20대 M,20180825
06754,20대 M,20180825
04744,20대 M,20180825
04744,20대 M,20180825
04847,20대 M,20180825
04847,20대 M,20180825
04847,20대 M,20180825
04847,20대 M,20180825
05571,20대 F,20180825
02772,20대 F,20180825
16870,20대 M,20180825
03596,20대 F,20180825
03596,20대 F,20180825
12251,50대이상 M,20180825
13326,20대 M,20180825
13326,20대 M,20180825
13380,50대이상 M,20180825
14427,20대 F,20180825
15959,20대 M,20180825
15984,50대이상 M,20180825
17848,20대 F,20180825
02601,20대 M,20180825
02601,20대 M,20180825
09426,20대 M,20180825
14157,50대이상 M,20180825
14157,50대이상 M,20180825
14322,50대이상 M,20180825
16927,20대 M,20180825
09809,20대 F,20180825
18790,20대 M,20180825
18790,20대 M,20180825
01592,20대 M,20180825
01592,20대 M,20180825
15466,20대 M,20180825
15466,20대 M,20180825
15980,20대 F,20180825
16120,20대 M,20180825
16633,20대 F,20180825
16633,20대 F,20180825
17817,20대 F,20180825
00923,20대 F,20180825
08749,20대 F,20180825
13374,20대 F,20180825
17571,20대 M,20180825
14146,20대 F,20180825
08979,20대 F,20180825
17605,20대 M,20180825
00610,20대 F,20180825
00610,20대 F,20180825
02283,50대이상 M,20180825
02283,50대이상 M,20180825
11223,20대 F,20180825
12968,20대 F,20180825
13851,20대 F,20180825
13851,20대 F,20180825
06193,20대 F,20180825
06193,20대 F,20180825
09414,20대 F,20180825
09414,20대 F,20180825
02117,20대 M,20180825
02117,20대 M,20180825
00662,50대이상 M,20180825
00662,50대이상 M,20180825
08619,20대 M,20180825
03914,20대 F,20180825
03914,20대 F,20180825
00120,30대 F,20180829
00299,30대 M,20180829
00305,50대이상 M,20180829
00596,20대 M,20180829
00596,20대 M,20180829
00620,30대 F,20180829
00620,30대 F,20180829
01774,30대 F,20180829
01826,30대 F,20180829
02333,50대이상 M,20180829
02337,20대 F,20180829
02445,20대 F,20180829
02727,20대 M,20180829
03094,50대이상 M,20180829
03238,40대 M,20180829
03482,30대 F,20180829
03870,20대 F,20180829
04085,30대 F,20180829
04290,50대이상 M,20180829
04412,30대 F,20180829
04490,20대 F,20180829
05024,30대 F,20180829
05062,30대 F,20180829
05062,30대 F,20180829
05139,30대 F,20180829
05161,30대 F,20180829
05351,30대 F,20180829
05445,30대 F,20180829
05519,40대 M,20180829
05545,30대 M,20180829
05603,40대 F,20180829
05725,20대 F,20180829
05785,30대 F,20180829
05785,30대 F,20180829
06989,20대 F,20180829
07239,30대 M,20180829
07347,40대 F,20180829
07347,40대 F,20180829
07995,40대 F,20180829
08540,30대 F,20180829
08625,20대 M,20180829
08673,40대 F,20180829
09225,30대 M,20180829
09854,40대 F,20180829
09854,40대 F,20180829
10237,20대 F,20180829
10406,30대 F,20180829
10411,30대 F,20180829
10543,30대 F,20180829
10670,40대 F,20180829
11119,20대 F,20180829
11677,40대 F,20180829
11766,30대 F,20180829
11964,20대 F,20180829
12193,30대 F,20180829
12600,20대 F,20180829
12909,30대 M,20180829
13109,40대 M,20180829
13191,30대 M,20180829
13191,30대 M,20180829
13214,40대 M,20180829
13488,30대 F,20180829
13542,20대 F,20180829
13570,40대 F,20180829
13743,50대이상 M,20180829
13760,30대 M,20180829
13768,20대 M,20180829
13979,30대 F,20180829
14140,40대 M,20180829
14140,40대 M,20180829
14304,30대 F,20180829
14489,50대이상 M,20180829
14692,30대 F,20180829
14820,20대 M,20180829
14953,40대 F,20180829
14953,40대 F,20180829
14954,30대 F,20180829
15219,20대 M,20180829
15341,30대 M,20180829
15634,40대 F,20180829
16242,40대 F,20180829
16347,20대 M,20180829
16518,30대 F,20180829
16692,40대 M,20180829
16692,40대 M,20180829
17109,30대 F,20180829
17116,40대 F,20180829
17256,50대이상 M,20180829
17545,30대 F,20180829
18162,30대 F,20180829
18446,30대 M,20180829
18881,50대이상 M,20180829
18963,50대이상 M,20180829
00266,30대 M,20180829
00266,30대 M,20180829
00707,30대 M,20180829
01009,40대 F,20180829
01093,30대 F,20180829
01320,50대이상 M,20180829
01613,20대 M,20180829
01740,30대 F,20180829
01897,20대 F,20180829
02063,30대 M,20180829
02392,40대 F,20180829
02695,20대 F,20180829
03698,30대 F,20180829
03836,30대 F,20180829
03943,40대 F,20180829
04368,30대 F,20180829
04554,50대이상 M,20180829
04693,20대 M,20180829
04774,30대 F,20180829
04908,20대 M,20180829
04992,50대이상 M,20180829
05394,40대 F,20180829
05584,20대 F,20180829
05774,20대 M,20180829
06032,30대 F,20180829
06327,50대이상 M,20180829
06395,20대 M,20180829
07052,50대이상 M,20180829
07052,50대이상 M,20180829
07130,30대 F,20180829
07507,30대 F,20180829
07605,30대 M,20180829
07729,30대 F,20180829
08088,30대 F,20180829
08491,40대 F,20180829
08494,30대 M,20180829
09296,20대 F,20180829
09389,40대 F,20180829
09419,20대 F,20180829
09439,40대 F,20180829
09532,40대 M,20180829
09549,30대 M,20180829
09839,40대 M,20180829
09959,30대 M,20180829
09959,30대 M,20180829
09987,40대 M,20180829
10090,40대 F,20180829
10147,20대 M,20180829
10380,30대 F,20180829
10631,40대 M,20180829
10668,40대 F,20180829
10965,20대 F,20180829
10965,20대 F,20180829
10965,20대 F,20180829
11373,40대 M,20180829
11457,40대 M,20180829
11508,30대 M,20180829
12080,20대 M,20180829
12418,40대 M,20180829
12418,40대 M,20180829
12512,30대 F,20180829
12546,30대 F,20180829
12623,40대 F,20180829
12777,30대 F,20180829
12838,50대이상 M,20180829
13419,20대 F,20180829
13636,30대 F,20180829
13722,30대 F,20180829
13727,30대 F,20180829
13906,40대 F,20180829
14050,30대 M,20180829
14991,50대이상 M,20180829
15091,40대 F,20180829
15091,40대 F,20180829
15473,30대 F,20180829
15617,20대 M,20180829
15617,20대 M,20180829
15617,20대 M,20180829
15931,20대 F,20180829
15931,20대 F,20180829
16159,30대 F,20180829
16769,50대이상 M,20180829
16950,50대이상 M,20180829
17124,30대 M,20180829
17139,30대 F,20180829
17254,20대 M,20180829
17414,30대 M,20180829
17550,40대 M,20180829
17659,40대 M,20180829
17664,20대 F,20180829
17749,20대 F,20180829
17749,20대 F,20180829
18099,30대 F,20180829
18133,20대 M,20180829
18160,30대 F,20180829
18230,40대 F,20180829
18230,40대 F,20180829
18714,30대 F,20180829
18714,30대 F,20180829
18869,40대 F,20180829
19011,30대 M,20180829
19011,30대 M,20180829
00517,40대 M,20180829
